Video, Frame ID, hole count, invalid_percentage, speckle_percentage, incomplete, time_spent_ms,  number_of_disparities
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,28, 2138, 8.40955, 93.1538, 0, 199, 48
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,29, 2132, 8.15379, 93.2928, 0, 224, 48
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,30, 2210, 8.2497, 91.2736, 0, 229, 48
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,31, 2111, 8.3399, 91.2287, 0, 202, 48
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,32, 2073, 8.02168, 90.1998, 0, 242, 48
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,33, 2150, 8.21117, 88.2168, 0, 206, 48
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,34, 2171, 8.40955, 91.0203, 0, 200, 48
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,35, 2077, 7.94631, 86.2723, 0, 222, 48
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,36, 2024, 8.26071, 92.6945, 0, 223, 48
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,37, 2093, 8.25542, 93.6565, 0, 199, 48
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,38, 2117, 8.11928, 93.8512, 0, 194, 48
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,39, 2253, 8.85607, 93.9966, 0, 196, 48
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,40, 2198, 8.44131, 92.6049, 0, 194, 48
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,41, 2137, 7.74136, 92.6282, 0, 231, 48
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,42, 2219, 8.08689, 93.868, 0, 198, 48
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,43, 2147, 8.0816, 91.8242, 0, 191, 48
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,44, 2272, 8.2334, 91.6163, 0, 189, 48
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,45, 2195, 8.08837, 93.4273, 0, 185, 48
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,46, 2278, 8.06297, 92.2537, 0, 212, 48
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,47, 2285, 8.17454, 92.95, 0, 193, 48
